,역명,승차총승객수,하차총승객수,동주소,위도,경도
435,아신,829.5382296466976,822.6430043522786,옥천면,37.5136938,127.4431057
436,원덕,470.66347926267287,449.66579621095747,양평읍,37.4684651,127.5470644
437,신원,288.287019969278,238.59657578085,양서면,37.5255881,127.3721956
438,양수,2234.993004352278,2224.17191500256,양서면,37.5457522,127.3288429
439,국수,956.8378200204814,920.7795634920636,양서면,37.5159972,127.3994692
440,용문,3353.8742383512545,3329.8616359447005,용문면,37.4824667,127.5944918
442,화전,2595.6919034818234,2432.6927803379417,화전동,37.6032477,126.8684937
443,수색,2388.185317460317,2524.480120327701,수색동,37.5808147,126.8956592
444,가좌,4860.068708397337,4480.485995903738,남가좌동,37.568887,126.9151498
445,행신,7817.471902201742,7462.213978494623,행신동,37.6121307,126.8341891
446,백마,6775.691263440861,6252.131739631335,백석동,37.6582994,126.7944722
447,곡산,594.2548579109064,585.7019649257552,백석동,37.6455345,126.8017273
448,금촌,7475.5351190476185,7249.609568612392,금촌동,37.7656088,126.7738893
449,운정,5138.244751664107,4702.183090117768,야당동,37.725422,126.7669081
450,금릉,4944.1395737327175,4891.874212749615,금촌동,37.7522266,126.7650441
451,문산,6541.484907834101,6412.164036098308,문산읍,37.8545887,126.7875953
452,파주,1726.080293138761,1241.3961341525855,파주읍,37.8151635,126.7926041
453,탄현,7720.311181515616,7310.991257040451,덕이동,37.6928732,126.7605628
454,월롱,2529.710573476703,2750.6433755760368,월롱면,37.7961432,126.7922046
455,풍산,4820.150550435228,4496.037288786482,풍동,37.6723406,126.786339
456,능곡,3865.199436763953,3533.127118535586,토당동,37.6189938,126.820918
457,일산,9554.581272401434,9268.898719918074,일산동,37.6821407,126.7694781
458,서강대,2271.111405529954,2298.0497567844345,노고산동,37.5527051,126.9348083
459,판교,2901.9072324628773,2839.523425499233,백현동,37.3947948,127.1109897
